,id,title,series,author,rating_count,review_count,number_of_pages,date_published,publisher,genre,isbn,description,awards,rating
1734,34108887,Action Words: Journey of a Journalist,Single,Shaune Bordere,6.0,1.0,328.0,2017.0,Abide Press,Historical,1,1041,0,4.5
1735,30257963,12 Rules for Life: An Antidote to Chaos,Single,Jordan B. Peterson,143922.0,11625.0,409.0,2018.0,Random House Canada,Nonfiction,1,1550,1,3.92
1737,43634959,Elementals: Mystic Warriors,Single,Katherine  L. Moore,49.0,5.0,418.0,2018.0,Xlibris US,None,0,2146,0,4.27
1740,53253605,Walking through the Wall (Updated Edition),Single,Kevin James Shay,2.0,2.0,537.0,2020.0,Amazon Kindle,None,0,2304,0,5.0
1742,56638563,Fateful Destiny: An Epic Struggle to Change the Course of American History,Single,Marshall Anders,751.0,5.0,197.0,2021.0,Independently published,None,0,1019,0,3.67
1743,348632,The Blood of Flowers,Single,Anita Amirrezvani,17094.0,1960.0,368.0,2007.0,Little Brown and Company,Historical,1,1392,1,3.97
1744,7945049,Bury Your Dead,Chief Inspector Armand Gamache,Louise Penny,62096.0,5680.0,371.0,2010.0,Minotaur Books,Mystery,1,1466,7,4.32
1745,13151179,Twilight of the Elites: America After Meritocracy,Single,Christopher L. Hayes,5801.0,642.0,304.0,2012.0,Crown,Politics,1,2119,1,4.0
1746,13057939,In the Shadow of the Banyan,Single,Vaddey Ratner,19384.0,2553.0,322.0,2012.0,Simon  Schuster,Historical,1,1482,1,4.04
1747,13253842,Every Time I Think of You,Every Time I Think of You,Jim Provenzano,478.0,98.0,264.0,2011.0,CreateSpace Independent Publishing Platform,Romance,1,914,0,4.06
1748,18251076,The Fig Orchard,Single,Layla Fiske,334.0,58.0,450.0,2013.0,"Rancho Publishing, LLC",Historical,1,1550,3,4.14
1749,18623113,SG - Suicide Game,Single,Haidji,271.0,120.0,358.0,2013.0,Createspace Independent Publishing Platform,Science Fiction,1,1462,0,3.51
1750,18399204,And Then Run,Single,Eric Hublot,79.0,35.0,560.0,2013.0,Roland Media Distribution,Fiction,0,1126,0,3.51
1751,12518734,Something Witchy This Way Comes,Something Witchy,Veronica Blade,615.0,99.0,364.0,2011.0,Crush Publishing,Fantasy,1,1411,0,3.81
1752,22524731,Five Years - The Meeting,Single,Leonard Belmont,44.0,8.0,114.0,2014.0,Leonard Belmont,None,0,1289,0,4.43
1753,23014404,The Prostitute's Daughter,Because You Love Me,Adrienne D'nelle Ruvalcaba,54.0,12.0,457.0,2014.0,['        '],Business,0,1376,0,4.06
1755,17452206,Strange Bodies,Single,Marcel Theroux,1771.0,221.0,376.0,2013.0,Faber and Faber,Fiction,1,1175,1,3.62
1756,17305715,Albion Imperilled,Single,Ruth  Thomas,60.0,6.0,330.0,2013.0,Titania Publishing,None,0,1729,0,3.77
1757,31125554,The Fourth Monkey,4MK Thriller,J.D. Barker,24852.0,3600.0,404.0,2017.0,Houghton Mifflin Harcourt,Thriller,1,1208,1,4.17
1758,36540225,The Timingila,Single,Shon Mehta,23.0,12.0,258.0,2018.0,Houghton Mifflin Harcourt,None,1,1166,0,4.22
1759,12151198,Limonov,Single,Emmanuel Carrère,7669.0,587.0,489.0,2011.0,P.O.L.,Nonfiction,1,1167,3,4.1
1760,52934310,The First 100 Days of Your Book: Book Marketing for Self-Published Authors,Single,Joel Stafford,52.0,12.0,102.0,2019.0,Independently Published,Business,1,1684,0,4.5
1761,2906118,Finn,Single,Jon Clinch,2684.0,612.0,320.0,2008.0,Random House Trade Paperbacks,Fiction,1,9671,3,3.73
1762,12690450,Eight of Jacks,Single,T.D. McMichael,14.0,2.0,350.958041958042,2011.0,Magnus Corner Books,None,1,1572,0,4.07
1764,16246625,Mom! What's That?,Single,Atlas Jordan,33.0,8.0,28.0,2012.0,Mascot Books,Childrens,1,589,0,4.3
1765,2961481,Spring Water,Single,John     Fitzgerald,17.0,3.0,83.0,2005.0,Wordtech Communications,None,1,316,0,4.29
1766,16127235,The Darwin Elevator,Dire Earth Cycle,Jason M. Hough,4714.0,626.0,472.0,2013.0,Del Rey,Science Fiction,1,1177,2,3.68
1767,41038,The Rotters' Club,Rotters' Club,Jonathan Coe,12164.0,729.0,415.0,2003.0,Vintage,Fiction,1,869,1,3.96
1768,21901385,Dante's Amulet,Coriola,Melinda De Ross,11.0,10.0,316.0,2014.0,Melinda De Ross,None,0,1199,0,4.55
1769,22052148,"Coco Pinchard, The Consequences Of Love And Sex",Coco Pinchard,Robert Bryndza,1319.0,124.0,318.0,2014.0,Raven Street Publishing,Womens Fiction-Chick Lit,0,1662,0,4.05
1770,2315892,Best Served Cold,First Law World,Joe Abercrombie,74901.0,3366.0,534.0,2009.0,Gollancz,Fantasy,1,1623,4,4.16
1771,22325661,Blood Line,Granger Spy Novel,John J.  Davis,1079.0,131.0,300.0,2014.0,Simon & Winter Inc.,Thriller,1,1465,2,3.69
1772,1918305,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Single,Eric    Weiner,35822.0,3703.0,335.0,2008.0,Twelve,Nonfiction,1,1768,1,3.83
1773,6457081,Remarkable Creatures,Single,Tracy Chevalier,47159.0,4965.0,352.0,2009.0,HarperCollins Publishers Ltd,Historical,1,1424,0,3.86
1774,26123195,Unleash the POWER of Wordpress: The Smart Guide to WordPress for Beginners,Single,Joe Praveen Sequeira,51.0,2.0,246.0,2015.0,Createspace,None,1,1655,0,4.57
1775,32316602,Magnolias in Paradise,Single,Leonard Seet,4374.0,5.0,290.0,2016.0,Excelsior Publishing,Fiction,0,1875,0,3.88
1776,5807074,"Against the Flow: The Arts, Postmodern Culture and Education",Single,Peter Abbs,199.0,1.0,224.0,2003.0,RoutledgeFalmer,Education,1,1484,0,4.47
1777,52786359,A Cry to War,The Last Warrior King,E.O. Odiase,41.0,17.0,325.0,2019.0,Ghagerian Publishing,Fantasy,1,1954,0,3.83
1778,113744,Samuel Johnson Is Indignant,Single,Lydia Davis,1597.0,144.0,201.0,2002.0,Picador,Short Stories,1,972,0,3.97
1779,71984,"Ghost Wars: The Secret History of the CIA, Afghanistan, and Bin Laden from the Soviet Invasion to September 10, 2001",Single,Steve Coll,15056.0,1015.0,712.0,2004.0,Penguin Books (London),History,1,1286,4,4.28
1780,2038926,The Immortal Prince,Tide Lords,Jennifer Fallon,4102.0,196.0,658.0,2007.0,Voyager,Fantasy,1,1103,0,3.97
1781,11267847,A Job From Hell,Ancient Legends,Jayde Scott,8150.0,659.0,371.0,2011.0,['        '],Paranormrueal,1,1190,0,3.55
1782,2813124,Living with the Dead,Otherworld,Kelley Armstrong,17950.0,659.0,372.0,2008.0,Spectra Books,Fantasy,1,1212,0,4.03
1784,14288932,Ransom,The Light-Bearer,Emily Guido,29.0,7.0,250.0,2012.0,Self-Published,Romance,1,1143,0,4.45
1786,8525590,Wither,The Chemical Garden,Lauren DeStefano,102273.0,8153.0,358.0,2011.0,Simon  Schuster Books for Young Readers,Young Adult,1,1844,2,3.8
1789,20367560,Terry Treetop and the Lost Egg,Single,Tali Carmi,3796.0,158.0,40.0,2013.0,Createspace Independent Publishing Platform,Childrens,1,1258,0,3.83
1790,18914978,Where Is My Home?,Single,Tali Carmi,277.0,48.0,33.0,2013.0,Createspace Independent Publishing Platform,Childrens,0,1210,0,4.18
1791,2836109,Erak's Ransom,Ranger's Apprentice,John Flanagan,53987.0,1613.0,441.0,2007.0,Random House Australia,Fantasy,1,933,1,4.33
1792,21863558,You Are My Sunshine,"All My Love, Detrick",Roberta Kagan,4333.0,355.0,436.0,2014.0,['        '],Historical,0,3486,0,4.13
1794,24001,Soldados de Salamina,Single,Javier Cercas,8156.0,672.0,209.0,2001.0,Tusquets,Fiction,1,2007,4,3.83
1795,12842828,Keeper of the Lost Cities,Keeper of the Lost Cities,Shannon Messenger,43363.0,5190.0,496.0,2012.0,Aladdin,Fantasy,1,1402,1,4.45
1796,26228034,The Obelisk Gate,The Broken Earth,N.K. Jemisin,119338.0,8891.0,410.0,2016.0,Orbit,Fantasy,0,974,5,4.27
1797,13058887,The Chemistry of Tears,Single,Peter Carey,3903.0,691.0,229.0,2012.0,Knopf,Fiction,1,1141,1,2.97
1798,23395680,Illuminae,The Illuminae Files,Amie Kaufman,137245.0,27302.0,602.0,2015.0,Knopf Books for Young Readers,Science Fiction,1,1439,9,4.24
1799,1259165,Wizard of the Crow,Single,Ngũgĩ wa Thiong'o,2915.0,394.0,768.0,2007.0,Anchor,Fiction,1,925,5,4.2
1800,6920184,End the Fed,Single,Ron Paul,5759.0,440.0,6.0,2009.0,Grand Central Publishing,Economics,1,1416,0,4.04
1801,2292384,Fearless Fourteen,Stephanie Plum,Janet Evanovich,88499.0,3540.0,310.0,2008.0,St. Martin's Press,Mystery,1,1999,0,4.03
1802,9925397,A Companion Workbook to What the Torah Teaches Us About Survival,Single,Laura Weakley,9.0,1.0,50.0,2011.0,smashwords.com,None,0,237,0,4.33
1803,12126366,The Wiccan Diaries,The Wiccan Diaries,T.D. McMichael,120.0,6.0,266.0,2013.0,['        '],Young Adult,0,1248,0,3.64
1804,66317,Through Wolf's Eyes,Firekeeper Saga,Jane Lindskold,6852.0,313.0,579.0,2002.0,Tor Books,Fantasy,1,1162,0,3.98
1806,12488600,Shangri-La Trailer Park,Single,John Zunski,44.0,12.0,350.958041958042,2011.0,Smashwords,Fiction,1,1152,0,3.68
1807,7799004,Merchants of Doubt: How a Handful of Scientists Obscured the Truth on Issues from Tobacco Smoke to Global Warming,Single,Naomi Oreskes,5402.0,692.0,357.0,2010.0,Bloomsbury Press,Science,1,1677,0,4.18
1808,12292002,Cinema of Shadows,"Harmony, Indiana",Michael  West,306.0,62.0,298.0,2011.0,"Seventh Star Press, LLC",Horror,1,1010,1,3.7
1809,11076123,Half Blood Blues,Single,Esi Edugyan,16195.0,1768.0,343.0,2011.0,Serpent's Tail,Fiction,1,1107,10,3.68
1811,4292125,Charles and Emma: The Darwins' Leap of Faith,Single,Deborah Heiligman,8574.0,1113.0,268.0,2008.0,Henry Holt & Company,Nonfiction,1,1338,3,3.58
1812,14643361,Telling Time by the Shadows,Single,John     Fitzgerald,4.0,1.0,88.0,2008.0,Wordtech Communications,None,1,445,0,5.0
1813,18342283,Command Authority,Jack Ryan,Tom Clancy,14535.0,906.0,740.0,2013.0,G.P. Putnam's Sons,Fiction,1,1675,0,4.12
1814,632391,You Are Not a Stranger Here,Single,Adam Haslett,3916.0,488.0,256.0,2003.0,Anchor,Short Stories,1,1121,3,3.97
1815,458713,"The Anthropology of Turquoise: Meditations on Landscape, Art, and Spirit",Single,Ellen Meloy,1405.0,218.0,336.0,2002.0,Pantheon,Nonfiction,1,1288,2,4.04
1816,20454895,Story of The Ghost,Single,Charles  Mahoney,24.0,8.0,324.0,2014.0,Somerset,None,0,653,0,4.46
1817,19332307,Terry Treetop Finds New Friends,Single,Tali Carmi,289.0,70.0,38.0,2013.0,Createspace Independent Publishing Platform,Childrens,1,1524,0,4.3
1818,392563,The Rest Is Noise: Listening to the Twentieth Century,The Rest Is Noise,Alex  Ross,14023.0,796.0,640.0,2007.0,"Farrar, Straus and Giroux",Music,1,2095,7,4.09
1821,23209862,Anne Hawksmoor: Lost in Time (Book 2),Single,K.C. Harry,9.0,1.0,98.0,2014.0,Amazon,None,0,1046,0,4.11
1822,2467566,The Long Tail: Why the Future of Business is Selling Less of More,Single,Chris Anderson,29245.0,747.0,288.0,2008.0,Hachette Books,Business,1,908,2,3.81
1823,23783832,In Too Deep,Liliana,Neva Squires-Rodriguez,29.0,4.0,214.0,2014.0,Vanilla Heart Publishing,None,1,1249,0,4.52
1824,20820994,I'll Give You the Sun,Single,Jandy Nelson,290825.0,26351.0,371.0,2014.0,Dial Books,Young Adult,1,1232,9,4.14
1825,26198109,Louder Than a Whisper: Clearer Than a Bell,Single,Renée Paule,35.0,15.0,174.0,2015.0,RPG Publishing,Self Help,1,1173,0,4.63
1826,17657206,Behind Blue Eyes,Behind Blue Eyes,D.M. Wolfenden,171.0,87.0,340.0,2013.0,['        '],Paranormrueal,0,1218,0,4.19
1828,33253215,The Heart's Invisible Furies,Single,John Boyne,99655.0,12820.0,582.0,2017.0,Hogarth Press,Historical,0,1378,5,4.48
1829,918095,The Religion,Tannhauser Trilogy,Tim Willocks,2977.0,411.0,613.0,2007.0,Sarah Crichton Books,Historical,1,1931,0,4.1
1830,213847,Grab On to Me Tightly as if I Knew the Way,Single,Bryan Charles,632.0,94.0,240.0,2006.0,Harper Perennial,Fiction,1,1629,0,3.37
1831,196952,Who's That Knocking on Christmas Eve?,Single,Jan Brett,2499.0,119.0,32.0,2002.0,G.P. Putnam's Sons,Holiday-Christmas,1,1009,0,4.17
1832,300044,Knife Edge,Noughts and Crosses,Malorie Blackman,20000.0,837.0,364.0,2005.0,Corgi Childrens,Young Adult,1,911,0,4.08
1833,1541884,Personal Demon,Otherworld,Kelley Armstrong,20501.0,682.0,371.0,2008.0,Bantam,Fantasy,1,1795,0,4.08
1834,4345498,Magic Strikes,Kate Daniels,Ilona Andrews,78987.0,3704.0,310.0,2009.0,Ace,Fantasy,1,986,0,4.41
1835,13509957,Charmeine,The Light-Bearer,Emily Guido,124.0,56.0,200.0,2012.0,"PDMI Publishing, LLC",Romance,0,1465,0,3.94
1836,8492856,What Happened to Goodbye,Single,Sarah Dessen,87701.0,4509.0,416.0,2011.0,Viking Juvenile,Young Adult,1,1080,2,3.94
1837,9496240,The Hangman's Daughter,Die Henkerstochter - The Hangman's Daughter Series,Oliver Pötzsch,80851.0,6428.0,448.0,2010.0,AmazonCrossing,Historical,0,1593,1,3.74
1838,17404703,The First Pillar,Everville,Roy Huff,720.0,215.0,196.0,2013.0,Roy Huff,Fantasy,1,1412,0,3.64
1839,11866694,Arcadia,Single,Lauren Groff,21467.0,2956.0,291.0,2012.0,Hachette Books,Fiction,1,856,2,3.69
1840,15811505,Ghana Must Go,Single,Taiye Selasi,10512.0,1314.0,336.0,2013.0,Penguin Press,Fiction,1,1779,1,3.85
1841,17700404,Coco Pinchard's Big Fat Tipsy Wedding,Coco Pinchard,Robert Bryndza,2409.0,186.0,366.0,2013.0,Raven Street Publishing,Womens Fiction-Chick Lit,0,1612,0,3.85
1842,21801701,The Voyage,Single,Roberta Kagan,1290.0,134.0,372.0,2014.0,Raven Street Publishing,Historical,0,1469,0,4.05
1843,25375421,The Hope Handbook for Dads: The Search for Personal Growth,Single,Germany Kent,16.0,0.0,248.0,2015.0,Star Stone Press,None,0,960,0,4.75
1845,17154703,We Wove a Web in Childhood: The Brontes at Home,Single,Ruth  Thomas,33.0,4.0,300.0,2012.0,Titania Publishing,Historical,0,1337,0,3.79
1846,27259009,Average Joe and the Extraordinaires,Average Joe,Belart Wright,76.0,39.0,347.0,2015.0,BWright Publishing,Fantasy,0,1544,0,3.3
1847,25823671,The Box,Single,D.M. Wolfenden,39.0,18.0,350.958041958042,2015.0,BWright Publishing,None,0,259,0,4.38
1849,2474818,La reina oculta,Single,Jorge Molist,402.0,30.0,569.0,2008.0,Martinez Roca,Historical,1,1543,1,3.63
1851,13650229,Satan's Song: A Bailey Crane Mystery,Bailey Crane,Billy Ray Chitwood,5.0,0.0,417.0,2011.0,Cinc,None,0,850,0,4.8
1852,10238952,Irma Voth,Single,Miriam Toews,3794.0,454.0,272.0,2011.0,Knopf Canada,Fiction,1,1813,0,3.53
1853,6853895,What The Torah Teaches Us About Survival,Single,Laura Weakley,20.0,4.0,80.0,2009.0,Booksurge Publishing,None,1,882,0,4.75
1854,16066588,A Song for Julia,Thompson Sisters,Charles Sheehan-Miles,6218.0,689.0,369.0,2012.0,Cincinnatus Press,New Adult,1,1368,0,4.11
1855,7959473,American Assassin,Mitch Rapp,Vince Flynn,82182.0,3743.0,435.0,2010.0,Atria Simon & Schuster,Thriller,1,861,1,4.24
1856,23209888,Anne Hawksmoor: The Time Thief (Book 3),Single,K.C. Harry,10.0,0.0,99.0,2014.0,Amazon,None,0,984,0,4.1
1857,18816603,Leaving Time,Leaving Time,Jodi Picoult,153996.0,16387.0,398.0,2014.0,Ballantine Books,Fiction,1,971,2,3.96
1858,25506341,No Turning Back,Liliana,Neva Squires-Rodriguez,34.0,4.0,350.958041958042,2015.0,Smashwords Edition,None,1,1117,0,4.44
1859,18144053,The Museum of Extraordinary Things,Single,Alice Hoffman,49413.0,6019.0,368.0,2014.0,Scribner,Historical,1,1251,2,3.74
1860,1385055,Leaving Atlanta,Single,Tayari Jones,4223.0,445.0,272.0,2002.0,Warner Books (NY),Fiction,1,1095,1,4.04
1861,164814,The Rice Mother,Single,Rani Manicka,6073.0,611.0,432.0,2004.0,Penguin Books,Historical,1,1516,2,4.14
1862,11529182,What the Torah Teaches Us about Spirituality: Through Isaac's Own Spiritual Journey,Single,Laura Weakley,14.0,1.0,384.0,2011.0,Createspace Independent Publishing Platform,None,1,1173,0,4.21
1863,22411,Invisible Prey,Lucas Davenport,John Sandford,17114.0,684.0,384.0,2007.0,Putnam Adult,Mystery,1,1006,0,4.15
1864,13607560,Baby Jaimie Has a Crush,The Adventures of Baby Jaimie,Jaimie Hope,19.0,5.0,26.0,2012.0,Jaimie Hope,None,1,1085,0,4.58
1865,11030760,Baby Jaimie Goes to School,The Adventures of Baby Jaimie,Jaimie Hope,7.0,0.0,32.0,2010.0,Createspace,None,1,0,0,4.29
1866,8855321,Leviathan Wakes,The Expanse,James S.A. Corey,206627.0,13691.0,561.0,2011.0,Orbit,Science Fiction,1,1431,4,4.25
1867,18957266,Pirates: The Midnight Passage,Single,James R. Hannibal,22.0,8.0,350.958041958042,2014.0,Brilliance Audio,None,1,1838,0,4.23
1868,1110968,Hitman: My Real Life in the Cartoon World of Wrestling,Single,Bret Hart,5045.0,372.0,569.0,2007.0,Grand Central Publishing,Nonfiction,1,2798,0,4.38
1869,920607,The Arrival,Single,Shaun Tan,50358.0,4927.0,132.0,2007.0,Lothian Books,Sequential Art,0,987,13,4.34
1870,41081373,"Girl, Woman, Other",Single,Bernardine Evaristo,150137.0,15160.0,453.0,2019.0,Hamish Hamilton,Fiction,1,906,6,4.36
1871,2371806,9/11 Contradictions: An Open Letter to Congress and the Press,Single,David Ray Griffin,58.0,6.0,346.0,2008.0,Olive Branch Press,History,1,1266,0,3.83
1872,4002159,Double Cross,Noughts and Crosses,Malorie Blackman,12551.0,428.0,480.0,2009.0,Doubleday Childrens,Young Adult,1,723,0,4.14
1874,13650199,The Brutus Gate: A Bailey Crane Mystery,Bailey Crane,Billy Ray Chitwood,3.0,1.0,374.0,2011.0,Cinc,None,0,1389,0,5.0
1875,13650137,Butterflies and Jellybeans - A Love Story,Single,Billy Ray Chitwood,6.0,3.0,269.0,2011.0,Cinc,None,0,1053,0,4.67
1876,13649282,An Arizona Tragedy: A Bailey Crane Mystery,Bailey Crane,Billy Ray Chitwood,11.0,4.0,284.0,2011.0,CInc,None,1,3250,0,4.73
1877,12924366,A Soul Defiled: A Bailey Crane Mystery,Bailey Crane,Billy Ray Chitwood,4.0,0.0,236.0,2011.0,Createspace Independent Publishing Platform,None,1,1310,0,4.75
1878,11884209,Roll with It,Single,Jaimie Hope,9.0,1.0,100.0,2011.0,America Star Books,None,1,109,0,4.56
1879,65112,The End,A Series of Unfortunate Events,Lemony Snicket,95733.0,4745.0,324.0,2006.0,HarperCollins Publishers,Fiction,1,1394,0,4.01
1880,15827731,Just Remember to Breathe,Thompson Sisters,Charles Sheehan-Miles,9597.0,885.0,277.0,2012.0,Cincinnatus Press,New Adult,1,1028,0,4.0
1883,8196732,Sister,Single,Rosamund Lupton,52514.0,5231.0,358.0,2010.0,Piatkus Books,Mystery,1,1016,2,3.78
1884,15745950,Walking Disaster,Beautiful,Jamie McGuire,177657.0,12060.0,448.0,2013.0,Atria Books,Romance,1,1019,1,4.19
1885,144350,The Battle for Skandia,Ranger's Apprentice,John Flanagan,85005.0,2137.0,294.0,2008.0,Philomel Books,Fantasy,1,1355,0,4.35
1886,9814682,"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)",Single,George R.R. Martin,45721.0,1018.0,4081.0,2011.0,Bantam,Fantasy,1,1058,0,4.63
1888,20764879,A Gathering of Shadows,Shades of Magic,V.E. Schwab,136910.0,17890.0,512.0,2016.0,Tor Books,Fantasy,1,1487,2,4.24
1889,20696006,Being Mortal: Medicine and What Matters in the End,Single,Atul Gawande,153134.0,16874.0,282.0,2014.0,Metropolitan Books,Nonfiction,1,1507,3,4.43
1890,2726462,Green Chic: Saving the Earth in Style,Single,Christie Matheson,206.0,46.0,220.0,2008.0,Sourcebooks,Nonfiction,1,3108,0,3.55
1891,128759,Fatal Voyage,Temperance Brennan,Kathy Reichs,48929.0,1205.0,448.0,2005.0,Pocket Star Books,Mystery,1,913,0,4.04
1892,11288465,The Cracked Mirror: Reflections of an Appalachian Son,Single,Billy Ray Chitwood,13.0,5.0,346.0,2011.0,Createspace Independent Publishing Platform,None,1,2097,0,4.77
1893,24796,Zorro,Single,Isabel Allende,21203.0,1753.0,677.0,2005.0,HarperLargePrint,Historical,1,1311,0,3.77
1894,48577242,Even the Dogs,Single,Jon McGregor,2051.0,326.0,256.0,2020.0,Catapult,Fiction,0,1939,1,3.5
1895,11777020,Headhunters,Single,Jo Nesbø,37082.0,2302.0,265.0,2011.0,Vintage Crime/Black Lizard,Mystery,1,1063,1,3.82
1896,18599761,To Marry a Scottish Laird,Highland Brides,Lynsay Sands,6456.0,461.0,384.0,2014.0,Avon,Romance,1,1332,0,3.97
1897,4889214,Far North,Single,Marcel Theroux,4178.0,515.0,288.0,2009.0,Faber and Faber,Fiction,1,1849,2,3.79
1899,3297175,And the Hippos Were Boiled in Their Tanks,Single,William S. Burroughs,11480.0,769.0,214.0,2008.0,Grove Press,Fiction,1,2355,0,3.72
1900,417065,On the Road: the Original Scroll,Single,Jack Kerouac,11101.0,736.0,416.0,2007.0,Viking,Fiction,1,2254,0,4.13
1901,7797032,Spell Bound,Otherworld,Kelley Armstrong,14513.0,807.0,352.0,2011.0,Orbit,Fantasy,1,1181,1,4.23
1902,13260670,Exile,Keeper of the Lost Cities,Shannon Messenger,28051.0,2153.0,576.0,2013.0,Aladdin,Fantasy,0,1184,0,4.53
1903,23513349,Milk and Honey,Single,Rupi Kaur,454222.0,32725.0,204.0,2014.0,Createspace,Poetry,1,850,0,4.04
1904,25733990,Sleeping Giants,Themis Files,Sylvain Neuvel,78832.0,10957.0,320.0,2016.0,Del Rey,Science Fiction,1,1441,4,3.83
1905,31931941,Eliza and Her Monsters,Single,Francesca Zappia,58963.0,10663.0,385.0,2017.0,Greenwillow Books,Fiction,1,1104,2,4.16
1906,678990,A Curious Earth,The Jones Trilogy,Gerard Woodward,199.0,39.0,340.0,2007.0,Chatto & Windus,Fiction,1,216,0,3.63
1907,2331954,Infected,Infected,Scott Sigler,19788.0,1726.0,342.0,2008.0,Crown Publishing Group (NY),Horror,1,1481,0,3.83
1909,6957731,600 Hours of Edward,Edward,Craig Lancaster,11415.0,1434.0,278.0,2009.0,Riverbend Publishing,Fiction,1,1373,2,4.12
1910,7861305,Who Says You Can't Go Home?,Single,Jaimie Hope,20.0,6.0,84.0,2008.0,Publish America,None,1,970,0,4.55
1911,7899910,The Adventures of Baby Jaimie,The Adventures of Baby Jaimie,Jaimie Hope,6.0,0.0,48.0,2006.0,Authorhouse,None,1,781,0,4.67
1912,3381,Hey Nostradamus!,Single,Douglas Coupland,18750.0,720.0,244.0,2004.0,Bloomsbury USA,Fiction,1,1328,1,3.71
1913,16169436,Deviant Nightmares,Single,Joseph Sweet,15.0,7.0,216.0,2012.0,Forsaken Pres Via Createspace,None,1,894,0,4.73
1914,3272968,"The Soloist: A Lost Dream, an Unlikely Friendship, and the Redemptive Power of Music",Single,Steve López,9607.0,1509.0,289.0,2008.0,Berkley Publishing Group,Nonfiction,1,952,1,3.9
1915,7015403,The Gifts of Imperfection,Single,Brené Brown,142071.0,8409.0,137.0,2010.0,Hazelden Publishing,Nonfiction,1,276,0,4.2
1916,23598145,This Season... Have Love/Have Faith,Single,Tamara Philip,26.0,4.0,84.0,2014.0,Vanilla Heart Publishing,None,0,1422,0,4.38
1917,24889889,The Trouble with Romance,Cupid,Tamara Philip,29.0,2.0,350.958041958042,2015.0,Smashwords Edition,None,1,1082,0,4.48
1918,17199504,The Bone Season,The Bone Season,Samantha Shannon,70982.0,9226.0,466.0,2013.0,Bloomsbury USA,Fantasy,1,1377,2,3.77
1919,478951,The Bonehunters,Malazan Book of the Fallen,Steven Erikson,33553.0,1054.0,1203.0,2007.0,Bantam,Fantasy,1,1872,1,4.46
1920,6971900,The Difficulty of Being Good: On the Subtle Art of Dharma,Single,Gurcharan Das,4175.0,395.0,488.0,2009.0,Penguin Books India,Philosophy,1,1595,0,4.11
1921,36047860,Milkman,Single,Anna Burns,48623.0,7405.0,352.0,2018.0,Faber & Faber,Fiction,1,973,5,3.55
1922,26200610,The Scribbler Guardian,Arks Of Octava,Lucian Bane,301.0,114.0,247.0,2015.0,Amazon Digital Services,None,0,1396,0,4.23
1923,20342617,Just Mercy: A Story of Justice and Redemption,Single,Bryan Stevenson,186814.0,21420.0,336.0,2014.0,Spiegel & Grau,Nonfiction,0,1426,5,4.57
1924,32620332,The Seven Husbands of Evelyn Hugo,Single,Taylor Jenkins Reid,587658.0,75474.0,389.0,2017.0,Atria Books,Historical,1,1457,2,4.45
1925,27503,The Liberated Bride,Single,A.B. Yehoshua,680.0,74.0,576.0,2004.0,Mariner Books,Fiction,1,1010,4,3.79
1926,40190,A Good Year,Single,Peter Mayle,8371.0,888.0,287.0,2006.0,Vintage,Fiction,1,1155,0,3.68
1927,95315,Armed Madhouse: From Baghdad to New Orleans--Sordid Secrets and Strange Tales of a White House Gone Wild,Single,Greg Palast,1070.0,116.0,432.0,2007.0,Plume,Politics,1,1018,0,4.04
1928,957252,Debunking 9/11 Debunking: An Answer to Popular Mechanics & Other Defenders of the Official Conspiracy Theory,Single,David Ray Griffin,170.0,15.0,256.0,2007.0,Arris Books,Politics,1,1651,0,4.01
1929,27525,Armageddon: The Cosmic Battle of the Ages,Left Behind,Tim LaHaye,19303.0,360.0,395.0,2003.0,Tyndale House Publishers,Christian,1,1062,1,4.0
1930,1811543,Magic Burns,Kate Daniels,Ilona Andrews,80386.0,3876.0,261.0,2008.0,Ace,Fantasy,1,1198,1,4.3
1932,78985,Sons of Fortune,Single,Jeffrey Archer,18577.0,648.0,608.0,2003.0,Pan,Fiction,1,1842,0,3.88
1933,2164457,Blind Faith,Single,Ben Elton,6086.0,501.0,368.0,2008.0,Black Swan,Fiction,1,1128,0,3.72
1934,9996645,"Truly, Madly, Deeply",Single,Faraaz Kazi,1510.0,170.0,303.0,2010.0,Cedar Books (Pustak Mahal),Romance,1,1943,3,3.59
1935,9378733,The Psychopath Test: A Journey Through the Madness Industry,Single,Jon Ronson,134340.0,7581.0,288.0,2011.0,Riverhead Books,Nonfiction,1,1705,1,3.94
1936,6642715,The Forty Rules of Love,Single,Elif Shafak,147159.0,17111.0,354.0,2010.0,Viking,Fiction,0,1492,2,4.12
1937,13260668,Everblaze,Keeper of the Lost Cities,Shannon Messenger,24053.0,1685.0,624.0,2014.0,Aladdin,Fantasy,1,1283,0,4.58
1938,17645,The Penelopiad,Canongate's The Myths,Margaret Atwood,55066.0,5088.0,198.0,2005.0,Canongate U.S.,Fiction,1,1704,1,3.71
1939,8447255,The Crippled God,Malazan Book of the Fallen,Steven Erikson,24787.0,1155.0,921.0,2011.0,Bantam Press,Fantasy,1,1352,1,4.49
1940,44288534,What Is a Girl Worth?: My Story of Breaking the Silence and Exposing the Truth about Larry Nassar and USA Gymnastics,Single,Rachael Denhollander,3871.0,851.0,352.0,2019.0,Tyndale Momentum,Nonfiction,1,1954,1,4.6
